Model,Accuracy,Precision,Recall,F1-Score,Prediction_Time,ROC-AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Error_Rate,FP_Rate,FN_Rate
Gradient Boosting,0.9994443341932924,0.99923273657289,0.9995735971345727,0.9994031377899045,0.16660594940185547,0.999998201820272,13460,9,5,11721,0.0005556658067076801,0.0006682010542727745,0.00042640286542725567
Voting Classifier,0.9993649533637626,0.9991474850809889,0.9994883165614873,0.9993178717598908,1.8153669834136963,0.9999959351007558,13459,10,6,11720,0.0006350466362373487,0.0007424456158586384,0.0005116834385127068
AdaBoost,0.9989680492161143,0.9985512186807568,0.999232474842231,0.9988917306052856,1.5420405864715576,0.9999925223582438,13452,17,9,11717,0.0010319507838856916,0.0012621575469596853,0.0007675251577690602
Random Forest,0.9987299067275253,0.9987205731832139,0.9985502302575473,0.99863539445629,0.22748231887817383,0.9999956121881989,13454,15,17,11709,0.0012700932724746975,0.0011136684237879576,0.0014497697424526693
